cifra,valor,tipo,base,clave,fuente,fecha,texto,modulo
fila.1936.calvo_pide.v3,118058,id,v3,L,fila de 1936-06-03 con «no constarán en el Diario de Sesiones»; misma fila en la v3,2026-09-23,118058,cortes
fila.1936.cierre_10julio.V2,107065,id,V2,L,fila de 1936-07-10 con «Orden del día para el martes»; fragmento comprobado letra a letra en cada exportación,2026-09-23,107065,cortes
fila.1936.cierre_10julio.v3,121108,id,v3,L,fila de 1936-07-10 con «Orden del día para el martes»; misma fila en la v3,2026-09-23,121108,cortes
fila.1936.convocatoria.v3,114890,id,v3,L,fila de 1936-03-17 con «Las elecciones generales para Diputados a Cortes se celebrar»; solo en la v3 (fila del sumario o del acta),2026-09-23,114890,cortes
fila.1936.crisis.V2,103383,id,V2,L,fila de 1936-05-12 con «Encontrándose el Gobierno en crisis se suspenden las sesione»; fragmento comprobado letra a letra en cada exportación,2026-09-23,103383,cortes
fila.1936.crisis.v3,116863,id,v3,L,fila de 1936-05-12 con «Encontrándose el Gobierno en crisis se suspenden las sesione»; misma fila en la v3,2026-09-23,116863,cortes
fila.1936.descansando.V2,102365,id,V2,L,fila de 1936-04-07 con «se hallaba descansando»; fragmento comprobado letra a letra en cada exportación,2026-09-23,102365,cortes
fila.1936.descansando.v3,115686,id,v3,L,fila de 1936-04-07 con «se hallaba descansando»; misma fila en la v3,2026-09-23,115686,cortes
fila.1936.galarza.V2,106289,id,V2,L,fila de 1936-07-01 con «no se consigna por orden del Sr. Presidente»; fragmento comprobado letra a letra en cada exportación,2026-09-23,106289,cortes
fila.1936.galarza.v3,120221,id,v3,L,fila de 1936-07-01 con «no se consigna por orden del Sr. Presidente»; misma fila en la v3,2026-09-23,120221,cortes
fila.1936.incitacion.V2,102483,id,V2,L,fila de 1936-04-15 con «Se acaba de hacer una incitación al asesinato»; fragmento comprobado letra a letra en cada exportación,2026-09-23,102483,cortes
fila.1936.incitacion.v3,115827,id,v3,L,fila de 1936-04-15 con «Se acaba de hacer una incitación al asesinato»; misma fila en la v3,2026-09-23,115827,cortes
fila.1936.junta_viva.v3,114890,id,v3,L,"fila de 1936-03-17 con «solicitó de la Presidencia un viva a la República, negándose»; solo en la v3 (fila del sumario o del acta)",2026-09-23,114890,cortes
fila.1936.no_constara_6mayo.V2,103251,id,V2,L,fila de 1936-05-06 con «No constará en el Diario de Sesiones»; fragmento comprobado letra a letra en cada exportación,2026-09-23,103251,cortes
fila.1936.no_constara_6mayo.v3,116698,id,v3,L,fila de 1936-05-06 con «No constará en el Diario de Sesiones»; misma fila en la v3,2026-09-23,116698,cortes
fila.1936.no_constaran_15abril.V2,102484,id,V2,L,fila de 1936-04-15 con «Esas palabras no constarán en el Diario de Sesiones»; fragmento comprobado letra a letra en cada exportación,2026-09-23,102484,cortes
fila.1936.no_constaran_15abril.v3,115828,id,v3,L,fila de 1936-04-15 con «Esas palabras no constarán en el Diario de Sesiones»; misma fila en la v3,2026-09-23,115828,cortes
fila.1936.no_constaran_1julio.V2,106290,id,V2,L,fila de 1936-07-01 con «no constarán en el Diario de Sesiones»; fragmento comprobado letra a letra en cada exportación,2026-09-23,106290,cortes
fila.1936.no_constaran_1julio.v3,120222,id,v3,L,fila de 1936-07-01 con «no constarán en el Diario de Sesiones»; misma fila en la v3,2026-09-23,120222,cortes
fila.1936.no_se_consignan_16junio.V2,105324,id,V2,L,fila de 1936-06-16 con «no se consignan por orden»; fragmento comprobado letra a letra en cada exportación,2026-09-23,105324,cortes
fila.1936.no_se_consignan_16junio.v3,119098,id,v3,L,fila de 1936-06-16 con «no se consignan por orden»; misma fila en la v3,2026-09-23,119098,cortes
fila.1936.no_se_consignan_6mayo.V2,103182,id,V2,L,fila de 1936-05-06 con «no se consignan por orden»; fragmento comprobado letra a letra en cada exportación,2026-09-23,103182,cortes
fila.1936.no_se_consignan_6mayo.v3,116626,id,v3,L,fila de 1936-05-06 con «no se consignan por orden»; misma fila en la v3,2026-09-23,116626,cortes
fila.1936.pasa_a_ser.V2,102368,id,V2,L,fila de 1936-04-07 con «pasa a ser Presidente de la República»; fragmento comprobado letra a letra en cada exportación,2026-09-23,102368,cortes
fila.1936.pasa_a_ser.v3,115690,id,v3,L,fila de 1936-04-07 con «pasa a ser Presidente de la República»; misma fila en la v3,2026-09-23,115690,cortes
fila.1936.presidente_interino.V2,101701,id,V2,L,fila de 1936-03-16 con «Queda proclamado Presidente interino del Congreso D. Diego M»; fragmento comprobado letra a letra en cada exportación,2026-09-23,101701,cortes
fila.1936.presidente_interino.v3,114881,id,v3,L,fila de 1936-03-16 con «Queda proclamado Presidente interino del Congreso D. Diego M»; misma fila en la v3,2026-09-23,114881,cortes
fila.1936.prieto_7abril.V2,102323,id,V2,L,"fila de 1936-04-07 con «Señores Diputados, son más sagrados los deberes cuanto más p»; fragmento comprobado letra a letra en cada exportación",2026-09-23,102323,cortes
fila.1936.prieto_7abril.v3,115638,id,v3,L,"fila de 1936-04-07 con «Señores Diputados, son más sagrados los deberes cuanto más p»; misma fila en la v3",2026-09-23,115638,cortes
fila.1936.propuesta_81.V2,102247,id,V2,L,"fila de 1936-04-03 con «procede, con arreglo a lo dispuesto en el art. 81 de la Cons»; fragmento comprobado letra a letra en cada exportación",2026-09-23,102247,cortes
fila.1936.propuesta_81.v3,115547,id,v3,L,"fila de 1936-04-03 con «procede, con arreglo a lo dispuesto en el art. 81 de la Cons»; misma fila en la v3",2026-09-23,115547,cortes
fila.1936.propuesta_destitucion.V2,102304,id,V2,L,fila de 1936-04-07 con «no era necesario el decreto de disolución de Cortes de 7 de »; fragmento comprobado letra a letra en cada exportación,2026-09-23,102304,cortes
fila.1936.propuesta_destitucion.v3,115618,id,v3,L,fila de 1936-04-07 con «no era necesario el decreto de disolución de Cortes de 7 de »; misma fila en la v3,2026-09-23,115618,cortes
fila.1936.retirada.V2,101915,id,V2,L,"fila de 1936-03-31 con «dejamos en vuestras manos, señores de la mayoría, la suerte »; fragmento comprobado letra a letra en cada exportación",2026-09-23,101915,cortes
fila.1936.retirada.v3,115160,id,v3,L,"fila de 1936-03-31 con «dejamos en vuestras manos, señores de la mayoría, la suerte »; misma fila en la v3",2026-09-23,115160,cortes
fila.1936.retirada_ct.V2,101931,id,V2,L,fila de 1936-03-31 con «una retirada del Parlamento»; fragmento comprobado letra a letra en cada exportación,2026-09-23,101931,cortes
fila.1936.retirada_ct.v3,115177,id,v3,L,fila de 1936-03-31 con «una retirada del Parlamento»; misma fila en la v3,2026-09-23,115177,cortes
fila.1936.retirada_re.V2,101921,id,V2,L,fila de 1936-03-31 con «la retirada de este salón»; fragmento comprobado letra a letra en cada exportación,2026-09-23,101921,cortes
fila.1936.retirada_re.v3,115167,id,v3,L,fila de 1936-03-31 con «la retirada de este salón»; misma fila en la v3,2026-09-23,115167,cortes
fila.1936.sedicioso.V2,107066,id,V2,L,fila de 1936-10-01 con «ese movimiento sedicioso»; fragmento comprobado letra a letra en cada exportación,2026-09-23,107066,cortes
fila.1936.sedicioso.v3,121111,id,v3,L,fila de 1936-10-01 con «ese movimiento sedicioso»; misma fila en la v3,2026-09-23,121111,cortes
fila.1936.solemne.V2,103342,id,V2,L,fila de 1936-05-08 con «para que el Presidente electo preste la promesa»; fragmento comprobado letra a letra en cada exportación,2026-09-23,103342,cortes
fila.1936.solemne.v3,116810,id,v3,L,fila de 1936-05-08 con «para que el Presidente electo preste la promesa»; misma fila en la v3,2026-09-23,116810,cortes
fila.1936.viva_cierre.V2,101705,id,V2,L,fila de 1936-03-16 con «¡Viva la República! ¡Viva España!»; fragmento comprobado letra a letra en cada exportación,2026-09-23,101705,cortes
fila.1936.viva_cierre.v3,114888,id,v3,L,fila de 1936-03-16 con «¡Viva la República! ¡Viva España!»; misma fila en la v3,2026-09-23,114888,cortes
fila.1936.voto_3abril.V2,102287,id,V2,L,fila de 1936-04-03 con «quedó aprobada la proposición por 181 votos contra 88»; fragmento comprobado letra a letra en cada exportación,2026-09-23,102287,cortes
fila.1936.voto_3abril.v3,115595,id,v3,L,fila de 1936-04-03 con «quedó aprobada la proposición por 181 votos contra 88»; misma fila en la v3,2026-09-23,115595,cortes
fila.1936.voto_destitucion.V2,102358,id,V2,L,fila de 1936-04-07 con «El Reglamento dispone que se haga nominalmente»; fragmento comprobado letra a letra en cada exportación,2026-09-23,102358,cortes
fila.1936.voto_destitucion.v3,115674,id,v3,L,fila de 1936-04-07 con «El Reglamento dispone que se haga nominalmente»; misma fila en la v3,2026-09-23,115674,cortes
fila.I.agraria.V2,37177,id,V2,L,fila de 1932-09-09 (sesión 233) con «votaron en pro del proyecto de Reforma agraria 318 Sres. Dip»; fragmento comprobado letra a letra en cada exportación,2026-09-23,37177,cortes
fila.I.agraria.v3,41627,id,v3,L,fila de 1932-09-09 (sesión 233) con «votaron en pro del proyecto de Reforma agraria 318 Sres. Dip»; misma fila en la v3,2026-09-23,41627,cortes
fila.I.alcala_resigna.V2,2,id,V2,L,fila de 1931-07-14 (sesión 1) con «resignar sus Poderes en fecha próxima»; fragmento comprobado letra a letra en cada exportación,2026-09-23,2,cortes
fila.I.alcala_resigna.palabras,3715,n,V2,L,nwords de la fila V2 2 (igual en la v3 3),2026-09-23,3.715,cortes
fila.I.alcala_resigna.v3,3,id,v3,L,fila de 1931-07-14 (sesión 1) con «resignar sus Poderes en fecha próxima»; misma fila en la v3,2026-09-23,3,cortes
fila.I.art24.V2,6994,id,V2,L,fila de 1931-10-13 (sesión 55) con «quedó aprobado el artículo 24 por 178 votos contra 59»; fragmento comprobado letra a letra en cada exportación,2026-09-23,6994,cortes
fila.I.art24.v3,7800,id,v3,L,fila de 1931-10-13 (sesión 55) con «quedó aprobado el artículo 24 por 178 votos contra 59»; misma fila en la v3,2026-09-23,7800,cortes
fila.I.asua_proyecto.V2,2725,id,V2,L,fila de 1931-08-27 (sesión 28) con «es una Constitución de izquierda»; fragmento comprobado letra a letra en cada exportación,2026-09-23,2725,cortes
fila.I.asua_proyecto.palabras,5188,n,V2,L,nwords de la fila V2 2725 (igual en la v3 3006),2026-09-23,5.188,cortes
fila.I.asua_proyecto.v3,3006,id,v3,L,fila de 1931-08-27 (sesión 28) con «es una Constitución de izquierda»; misma fila en la v3,2026-09-23,3006,cortes
fila.I.azana_1933.V2,61237,id,V2,L,fila de 1933-10-02 (sesión 404) con «a ninguno de vosotros se os ocultará»; fragmento comprobado letra a letra en cada exportación,2026-09-23,61237,cortes
fila.I.azana_1933.palabras,12127,n,V2,L,nwords de la fila V2 61237 (igual en la v3 68809),2026-09-23,12.127,cortes
fila.I.azana_1933.v3,68809,id,v3,L,fila de 1933-10-02 (sesión 404) con «a ninguno de vosotros se os ocultará»; misma fila en la v3,2026-09-23,68809,cortes
fila.I.azana_baja.V2,7022,id,V2,L,fila de 1931-10-14 (sesión 56) con «la sensible baja que nos ha forzado hoy a este cambio minist»; fragmento comprobado letra a letra en cada exportación,2026-09-23,7022,cortes
fila.I.azana_baja.v3,7833,id,v3,L,fila de 1931-10-14 (sesión 56) con «la sensible baja que nos ha forzado hoy a este cambio minist»; misma fila en la v3,2026-09-23,7833,cortes
fila.I.besteiro_elegido.V2,5,id,V2,L,"fila de 1931-07-14 (sesión 1) con «D. Julián Besteiro, 363»; fragmento comprobado letra a letra en cada exportación",2026-09-23,5,cortes
fila.I.besteiro_elegido.v3,9,id,v3,L,"fila de 1931-07-14 (sesión 1) con «D. Julián Besteiro, 363»; misma fila en la v3",2026-09-23,9,cortes
fila.I.besteiro_ovacion.V2,10,id,V2,L,fila de 1931-07-14 (sesión 1); fragmento comprobado letra a letra en cada exportación,2026-09-23,10,cortes
fila.I.besteiro_ovacion.v3,18,id,v3,L,fila de 1931-07-14 (sesión 1); misma fila en la v3,2026-09-23,18,cortes
fila.I.bucle9.V2,976,id,V2,L,"fila de 1931-07-27 (sesión 9) con «Sánchez Guerra, Ossorio y Gallardo, Sánchez Guerra»; fragmento comprobado letra a letra en cada exportación",2026-09-23,976,cortes
fila.I.bucle9.v3,1081,id,v3,L,"fila de 1931-07-27 (sesión 9) con «Sánchez Guerra, Ossorio y Gallardo, Sánchez Guerra»; misma fila en la v3",2026-09-23,1081,cortes
fila.I.campalans.V2,25529,id,V2,L,fila de 1932-05-13 (sesión 165) con «después de hacerlo el ilustre maestro de todos»; fragmento comprobado letra a letra en cada exportación,2026-09-23,25529,cortes
fila.I.campalans.v3,28502,id,v3,L,fila de 1932-05-13 (sesión 165) con «después de hacerlo el ilustre maestro de todos»; misma fila en la v3,2026-09-23,28502,cortes
fila.I.centro_gravedad.V2,20689,id,V2,L,fila de 1932-03-09 (sesión 132) con «El centro de gravedad de la política de la República español»; fragmento comprobado letra a letra en cada exportación,2026-09-23,20689,cortes
fila.I.centro_gravedad.v3,23023,id,v3,L,fila de 1932-03-09 (sesión 132) con «El centro de gravedad de la política de la República español»; misma fila en la v3,2026-09-23,23023,cortes
fila.I.conllevar.V2,25527,id,V2,L,"fila de 1932-05-13 (sesión 165) con «es un problema que no se puede resolver, que sólo se puede c»; fragmento comprobado letra a letra en cada exportación",2026-09-23,25527,cortes
fila.I.conllevar.v3,28500,id,v3,L,"fila de 1932-05-13 (sesión 165) con «es un problema que no se puede resolver, que sólo se puede c»; misma fila en la v3",2026-09-23,28500,cortes
fila.I.constitucion.V2,13531,id,V2,L,fila de 1931-12-09 (sesión 88) con «Han tomado parte en la votación 368 señores Diputados y este»; fragmento comprobado letra a letra en cada exportación,2026-09-23,13531,cortes
fila.I.constitucion.v3,15043,id,v3,L,fila de 1931-12-09 (sesión 88) con «Han tomado parte en la votación 368 señores Diputados y este»; misma fila en la v3,2026-09-23,15043,cortes
fila.I.estatuto_presidencia.V2,25979,id,V2,L,fila de 1932-05-27 (sesión 173); fragmento comprobado letra a letra en cada exportación,2026-09-23,25979,cortes
fila.I.estatuto_presidencia.v3,29042,id,v3,L,fila de 1932-05-27 (sesión 173); misma fila en la v3,2026-09-23,29042,cortes
fila.I.estatuto_voto.V2,37178,id,V2,L,"fila de 1932-09-09 (sesión 233) con «Total, 314.»; fragmento comprobado letra a letra en cada exportación",2026-09-23,37178,cortes
fila.I.estatuto_voto.v3,41629,id,v3,L,"fila de 1932-09-09 (sesión 233) con «Total, 314.»; misma fila en la v3",2026-09-23,41629,cortes
fila.I.gobierno_se_retira.V2,61309,id,V2,L,fila de 1933-10-03 (sesión 405) con «el Gobierno se retira»; fragmento comprobado letra a letra en cada exportación,2026-09-23,61309,cortes
fila.I.gobierno_se_retira.v3,68887,id,v3,L,fila de 1933-10-03 (sesión 405) con «el Gobierno se retira»; misma fila en la v3,2026-09-23,68887,cortes
fila.I.lerroux_gobierno.V2,61223,id,V2,L,fila de 1933-10-02 (sesión 404) con «el mejor acto de acatamiento»; fragmento comprobado letra a letra en cada exportación,2026-09-23,61223,cortes
fila.I.lerroux_gobierno.v3,68793,id,v3,L,fila de 1933-10-02 (sesión 404) con «el mejor acto de acatamiento»; misma fila en la v3,2026-09-23,68793,cortes
fila.I.mesa_edad.V2,1,id,V2,L,fila de 1931-07-14 (sesión 1) con «Abrese la sesión»; fragmento comprobado letra a letra en cada exportación,2026-09-23,1,cortes
fila.I.mesa_edad.v3,2,id,v3,L,fila de 1931-07-14 (sesión 1) con «Abrese la sesión»; misma fila en la v3,2026-09-23,2,cortes
fila.I.presidente_republica.V2,13613,id,V2,L,fila de 1931-12-10 (sesión 89) con «D. Niceto Alcalá-Zamora queda elegido Presidente de la Repúb»; fragmento comprobado letra a letra en cada exportación,2026-09-23,13613,cortes
fila.I.presidente_republica.v3,15140,id,v3,L,fila de 1931-12-10 (sesión 89) con «D. Niceto Alcalá-Zamora queda elegido Presidente de la Repúb»; misma fila en la v3,2026-09-23,15140,cortes
fila.I.sanjurjo.V2,32910,id,V2,L,fila de 1932-08-10 (sesión 215) con «los sucesos acaecidos esta madrugada en Madrid»; fragmento comprobado letra a letra en cada exportación,2026-09-23,32910,cortes
fila.I.sanjurjo.v3,36780,id,v3,L,fila de 1932-08-10 (sesión 215) con «los sucesos acaecidos esta madrugada en Madrid»; misma fila en la v3,2026-09-23,36780,cortes
fila.I.suspenden.V2,61355,id,V2,L,"fila de 1933-10-03 (sesión 405) con «En vista de la declaración del Gobierno, se suspenden las se»; fragmento comprobado letra a letra en cada exportación",2026-09-23,61355,cortes
fila.I.suspenden.v3,68942,id,v3,L,"fila de 1933-10-03 (sesión 405) con «En vista de la declaración del Gobierno, se suspenden las se»; misma fila en la v3",2026-09-23,68942,cortes
fila.I.van_a_morir.V2,61277,id,V2,L,"fila de 1933-10-03 (sesión 405) con «Señores Diputados, los que van a morir os saludan.»; fragmento comprobado letra a letra en cada exportación",2026-09-23,61277,cortes
fila.I.van_a_morir.v3,68855,id,v3,L,"fila de 1933-10-03 (sesión 405) con «Señores Diputados, los que van a morir os saludan.»; misma fila en la v3",2026-09-23,68855,cortes
fila.I.voto_187.V2,61320,id,V2,L,fila de 1933-10-03 (sesión 405) con «fue aprobada la proposición por 187 votos contra 91»; fragmento comprobado letra a letra en cada exportación,2026-09-23,61320,cortes
fila.I.voto_187.v3,68900,id,v3,L,fila de 1933-10-03 (sesión 405) con «fue aprobada la proposición por 187 votos contra 91»; misma fila en la v3,2026-09-23,68900,cortes
fila.II.alba_interino.V2,61358,id,V2,L,"fila de 1933-12-08 (sesión 1) con «D. Santiago Alba Bonifaz, 234»; fragmento comprobado letra a letra en cada exportación",2026-09-23,61358,cortes
fila.II.alba_interino.v3,68949,id,v3,L,"fila de 1933-12-08 (sesión 1) con «D. Santiago Alba Bonifaz, 234»; misma fila en la v3",2026-09-23,68949,cortes
fila.II.alba_proclamado.V2,62053,id,V2,L,fila de 1933-12-28 (sesión 12) con «Queda proclamado Presidente de la Cámara D. Santiago Alba Bo»; fragmento comprobado letra a letra en cada exportación,2026-09-23,62053,cortes
fila.II.alba_proclamado.v3,69744,id,v3,L,fila de 1933-12-28 (sesión 12) con «Queda proclamado Presidente de la Cámara D. Santiago Alba Bo»; misma fila en la v3,2026-09-23,69744,cortes
fila.II.alba_reglamento.V2,71331,id,V2,L,fila de 1934-06-08 (sesión 96) con «no he visto quién ha interrumpido»; fragmento comprobado letra a letra en cada exportación,2026-09-23,71331,cortes
fila.II.alba_reglamento.v3,80307,id,v3,L,fila de 1934-06-08 (sesión 96) con «no he visto quién ha interrumpido»; misma fila en la v3,2026-09-23,80307,cortes
fila.II.amnistia_voto.V2,68299,id,V2,L,"fila de 1934-04-20 (sesión 72) con «quedó aprobado el artículo y con él el dictamen, por 265 vot»; fragmento comprobado letra a letra en cada exportación",2026-09-23,68299,cortes
fila.II.amnistia_voto.v3,76829,id,v3,L,"fila de 1934-04-20 (sesión 72) con «quedó aprobado el artículo y con él el dictamen, por 265 vot»; misma fila en la v3",2026-09-23,76829,cortes
fila.II.asturias.V2,74673,id,V2,L,fila de 1934-10-09 (sesión 114) con «nuestros compañeros Diputados por Asturias»; fragmento comprobado letra a letra en cada exportación,2026-09-23,74673,cortes
fila.II.asturias.v3,84113,id,v3,L,fila de 1934-10-09 (sesión 114) con «nuestros compañeros Diputados por Asturias»; misma fila en la v3,2026-09-23,84113,cortes
fila.II.azana_1935.V2,85330,id,V2,L,fila de 1935-03-20 (sesión 173) con «un presunto acusado y culpable»; fragmento comprobado letra a letra en cada exportación,2026-09-23,85330,cortes
fila.II.azana_1935.palabras,14131,n,V2,L,nwords de la fila V2 85330 (igual en la v3 96282),2026-09-23,14.131,cortes
fila.II.azana_1935.v3,96282,id,v3,L,fila de 1935-03-20 (sesión 173) con «un presunto acusado y culpable»; misma fila en la v3,2026-09-23,96282,cortes
fila.II.cuatro_julio.V2,74646,id,V2,L,fila de 1934-10-01 (sesión 113) con «dijerase que acaba de transcurrir la noche del 4 de Julio en»; fragmento comprobado letra a letra en cada exportación,2026-09-23,74646,cortes
fila.II.cuatro_julio.v3,84075,id,v3,L,fila de 1934-10-01 (sesión 113) con «dijerase que acaba de transcurrir la noche del 4 de Julio en»; misma fila en la v3,2026-09-23,84075,cortes
fila.II.ese_camino.V2,74648,id,V2,L,fila de 1934-10-01 (sesión 113) con «ha puesto de relieve que no es posible seguir por ese camino»; fragmento comprobado letra a letra en cada exportación,2026-09-23,74648,cortes
fila.II.ese_camino.v3,84079,id,v3,L,fila de 1934-10-01 (sesión 113) con «ha puesto de relieve que no es posible seguir por ese camino»; misma fila en la v3,2026-09-23,84079,cortes
fila.II.esquerra.V2,71609,id,V2,L,"fila de 1934-06-12 (sesión 97) con «esta minoría catalana, integrada por la Esquerra, federales »; fragmento comprobado letra a letra en cada exportación",2026-09-23,71609,cortes
fila.II.esquerra.v3,80615,id,v3,L,"fila de 1934-06-12 (sesión 97) con «esta minoría catalana, integrada por la Esquerra, federales »; misma fila en la v3",2026-09-23,80615,cortes
fila.II.gil_robles_fraccion.V2,61598,id,V2,L,fila de 1933-12-19 (sesión 6) con «la fracción numéricamente más importante de la Cámara»; fragmento comprobado letra a letra en cada exportación,2026-09-23,61598,cortes
fila.II.gil_robles_fraccion.v3,69230,id,v3,L,fila de 1933-12-19 (sesión 6) con «la fracción numéricamente más importante de la Cámara»; misma fila en la v3,2026-09-23,69230,cortes
fila.II.huelga.V2,74669,id,V2,L,"fila de 1934-10-09 (sesión 114) con «hasta completar la pacificación y el imperio de la Ley, inte»; fragmento comprobado letra a letra en cada exportación",2026-09-23,74669,cortes
fila.II.huelga.v3,84109,id,v3,L,"fila de 1934-10-09 (sesión 114) con «hasta completar la pacificación y el imperio de la Ley, inte»; misma fila en la v3",2026-09-23,84109,cortes
fila.II.inicuo.V2,68270,id,V2,L,fila de 1934-04-20 (sesión 72) con «¿Por qué es inicuo el acto que van a realizar las Cortes al »; fragmento comprobado letra a letra en cada exportación,2026-09-23,68270,cortes
fila.II.inicuo.v3,76798,id,v3,L,fila de 1934-04-20 (sesión 72) con «¿Por qué es inicuo el acto que van a realizar las Cortes al »; misma fila en la v3,2026-09-23,76798,cortes
fila.II.lerroux_declaracion.V2,61596,id,V2,L,fila de 1933-12-19 (sesión 6) con «cumplimos el grato deber de comparecer a vuestra presencia»; fragmento comprobado letra a letra en cada exportación,2026-09-23,61596,cortes
fila.II.lerroux_declaracion.v3,69228,id,v3,L,fila de 1933-12-19 (sesión 6) con «cumplimos el grato deber de comparecer a vuestra presencia»; misma fila en la v3,2026-09-23,69228,cortes
fila.II.luz.V2,71330,id,V2,L,fila de 1934-06-08 (sesión 96) con «Luz y taquigrafos.»; fragmento comprobado letra a letra en cada exportación,2026-09-23,71330,cortes
fila.II.luz.v3,80306,id,v3,L,fila de 1934-06-08 (sesión 96) con «Luz y taquigrafos.»; misma fila en la v3,2026-09-23,80306,cortes
fila.II.nombela.V2,101450,id,V2,L,fila de 1935-12-07 (sesión 275) con «denuncia del Sr. Nombela»; fragmento comprobado letra a letra en cada exportación,2026-09-23,101450,cortes
fila.II.nombela.v3,114599,id,v3,L,fila de 1935-12-07 (sesión 275) con «denuncia del Sr. Nombela»; misma fila en la v3,2026-09-23,114599,cortes
fila.II.nuevo_aviso.V2,101697,id,V2,L,fila de 1935-12-10 (sesión 276) con «las sesiones hasta nuevo aviso»; fragmento comprobado letra a letra en cada exportación,2026-09-23,101697,cortes
fila.II.nuevo_aviso.v3,114872,id,v3,L,fila de 1935-12-10 (sesión 276) con «las sesiones hasta nuevo aviso»; misma fila en la v3,2026-09-23,114872,cortes
fila.II.riesgo.V2,61356,id,V2,L,fila de 1933-12-08 (sesión 1) con «Abrese la sesión»; fragmento comprobado letra a letra en cada exportación,2026-09-23,61356,cortes
fila.II.riesgo.v3,68945,id,v3,L,fila de 1933-12-08 (sesión 1) con «Abrese la sesión»; misma fila en la v3,2026-09-23,68945,cortes
fila.II.salazar.V2,97391,id,V2,L,fila de 1935-10-28 (sesión 250) con «vengo apesadumbrado por una grave acusación»; fragmento comprobado letra a letra en cada exportación,2026-09-23,97391,cortes
fila.II.salazar.v3,110044,id,v3,L,fila de 1935-10-28 (sesión 250) con «vengo apesadumbrado por una grave acusación»; misma fila en la v3,2026-09-23,110044,cortes
fila.II.samper.V2,68466,id,V2,L,fila de 1934-05-02 (sesión 75); fragmento comprobado letra a letra en cada exportación,2026-09-23,68466,cortes
fila.II.samper.v3,77029,id,v3,L,fila de 1934-05-02 (sesión 75); misma fila en la v3,2026-09-23,77029,cortes
fila.II.se_retiran.V2,71611,id,V2,L,fila de 1934-06-12 (sesión 97) con «¿por qué se retiran los Sres. Diputados de la Esquerra catal»; fragmento comprobado letra a letra en cada exportación,2026-09-23,71611,cortes
fila.II.se_retiran.v3,80617,id,v3,L,fila de 1934-06-12 (sesión 97) con «¿por qué se retiran los Sres. Diputados de la Esquerra catal»; misma fila en la v3,2026-09-23,80617,cortes
fila.II.sesion_secreta.V2,71329,id,V2,L,fila de 1934-06-08 (sesión 96) con «han de tratarse en sesión secreta»; fragmento comprobado letra a letra en cada exportación,2026-09-23,71329,cortes
fila.II.sesion_secreta.v3,80305,id,v3,L,fila de 1934-06-08 (sesión 96) con «han de tratarse en sesión secreta»; misma fila en la v3,2026-09-23,80305,cortes
fila.II.straperlo.V2,97387,id,V2,L,fila de 1935-10-28 (sesión 250) con «aparato de juego de salón que ha motivado todo este asunto»; fragmento comprobado letra a letra en cada exportación,2026-09-23,97387,cortes
fila.II.straperlo.v3,110040,id,v3,L,fila de 1935-10-28 (sesión 250) con «aparato de juego de salón que ha motivado todo este asunto»; misma fila en la v3,2026-09-23,110040,cortes
fila.II.tiros.V2,70714,id,V2,L,"fila de 1934-05-31 (sesión 91) con «Casas Viejas! Casas Viejas! Tiros a la barriga, a la barriga»; fragmento comprobado letra a letra en cada exportación",2026-09-23,70714,cortes
fila.II.tiros.v3,79606,id,v3,L,"fila de 1934-05-31 (sesión 91) con «Casas Viejas! Casas Viejas! Tiros a la barriga, a la barriga»; misma fila en la v3",2026-09-23,79606,cortes
fila.II.vascos.V2,71613,id,V2,L,fila de 1934-06-12 (sesión 97) con «La minoría vasca se retira del salón»; fragmento comprobado letra a letra en cada exportación,2026-09-23,71613,cortes
fila.II.vascos.v3,80619,id,v3,L,fila de 1934-06-12 (sesión 97) con «La minoría vasca se retira del salón»; misma fila en la v3,2026-09-23,80619,cortes
fila.II.vivas.V2,74703,id,V2,L,fila de 1934-10-09 (sesión 114) con «son contestados con unánimes aplausos y aclamaciones»; fragmento comprobado letra a letra en cada exportación,2026-09-23,74703,cortes
fila.II.vivas.v3,84145,id,v3,L,fila de 1934-10-09 (sesión 114) con «son contestados con unánimes aplausos y aclamaciones»; misma fila en la v3,2026-09-23,84145,cortes
fila.azana1935.id.V2,85330,id,V2,C,"id de la fila V2 (1935-03-20, El Sr. AZANA:)",2026-09-23,85330,metodo
fila.azana1935.nwords,14131,n,V2,C,nwords de la fila V2 85330 (= v3 96282),2026-09-23,14.131,metodo
fila.bucle9.id.V2,976,id,V2,C,fila del bucle de la sesión 9 (1931-07-27),2026-09-23,976,metodo
fila.campoamor.id.V2,5424,id,V2,L,id V2 de la fila del 1931-10-01 «Yo ruego a la Cámara que me escuche en s»,2026-09-23,5424,cortes
fila.campoamor.id.v3,6079,id,v3,L,id v3 de la misma fila (mismo texto),2026-09-23,6079,cortes
fila.campoamor.nwords,1460,n,V2,L,nwords de la fila V2 5424,2026-09-23,1.460,cortes
fila.campoamor.orden.V2,26,id,V2,C,order de la fila V2 5424,2026-09-23,26,metodo
fila.campoamor.orden.pantalla,30,id,explorador,C,«Orden 30 de 415» en el lector del explorador (captura c_lector_campoamor_1440): ord + 1,2026-09-23,30,metodo
fila.campoamor.orden.v3,29,id,v3,C,ord de la fila v3 6079,2026-09-23,29,metodo
